CpG,Coefficient,Correlation
cg20060846,-0.77423316,-0.50227165
cg02641839,0.73424566,0.5717657
cg23316807,0.6864503,0.5352821
cg14192299,0.6550075,0.56453407
cg09780768,0.63465583,0.5130238
cg26161329,0.6306866,0.54513186
cg11397498,0.6199236,0.5682155
cg04581938,-0.5590326,-0.5292241
cg17006519,-0.5133105,-0.51230615
cg21997740,0.5036438,0.5054594
cg06947488,-0.49885285,-0.5066886
cg14252251,-0.49527913,-0.5141186
cg27183007,0.4843307,0.5105794
cg22454769,0.44080862,0.6130234
cg27275941,0.43816325,0.5303959
cg06287775,0.4177056,0.5001031
cg14934597,0.41077647,0.5869208
cg12678562,0.37792033,0.5606491
cg11445324,0.3742117,0.5234224
cg02508994,-0.36008698,-0.5305283
cg06122269,0.35996786,0.54932827
cg26157385,0.3484024,0.5404416
cg09880367,-0.34074497,-0.54398715
cg23328237,-0.3248133,-0.5199519
cg24846037,-0.32191488,-0.5044018
cg11109027,-0.31653348,-0.52354157
cg20643012,0.30586392,0.53563815
cg14822494,-0.29848966,-0.5250689
cg10778288,0.29050085,0.505931
cg25122853,-0.2823521,-0.5251833
cg10200298,-0.27767882,-0.56647843
cg24788636,0.27550143,0.5162757
cg15183335,0.27517414,0.50813884
cg02271560,0.26387137,0.5211053
cg07962783,-0.25964993,-0.53425395
cg02650266,0.25737423,0.5531593
cg12617625,0.25305402,0.50239736
cg16364095,-0.24866237,-0.5882862
cg20422212,0.23248973,0.52457637
cg03775256,-0.2164343,-0.5148716
cg20706134,-0.21388961,-0.5607424
cg10718835,0.21312505,0.5361272
cg04884232,-0.20602469,-0.5911407
cg19407095,0.19715787,0.50838643
cg21891712,0.19190173,0.5905093
cg06639320,0.16583468,0.6252779
cg22736354,0.14706738,0.53681374
cg24492202,0.14377566,0.5146359
cg02235385,-0.14023559,-0.58415025
cg02228185,-0.1390151,-0.52840775
cg13935689,0.12550972,0.50978583
cg19083007,-0.12470454,-0.5366052
cg22793130,-0.12410372,-0.51148754
cg05344176,0.1169531,0.5133439
cg01348482,-0.114679486,-0.5187344
cg24468677,0.11297559,0.5116025
cg00714677,0.109905824,0.5720459
cg12103949,-0.105572924,-0.50793093
cg17287107,0.09613358,0.53741634
cg13263137,-0.09518362,-0.56127375
cg19981296,0.091685414,0.52119213
cg03941993,-0.09123687,0.5005627
cg22904096,-0.090317726,-0.5590619
cg05641022,0.088975914,0.5090101
cg00505045,0.08356563,0.6030376
cg22402378,0.08352113,0.5694995
cg05086444,0.081157595,0.55689913
cg04662637,0.06468887,0.53309506
cg26499663,0.06313426,0.53164554
cg09401099,0.062799394,0.5006725
cg17398261,-0.06180968,-0.5060816
cg19868593,-0.05826502,-0.5633063
cg26959982,-0.053785723,-0.53509563
cg07915343,0.047050744,0.5098383
cg07150045,0.043895938,0.51882434
cg07791142,-0.04221374,-0.56089115
cg06271327,-0.04023804,-0.54578954
cg10250926,0.03746502,0.5091631
cg22650022,0.036351074,0.5081341
cg21833714,-0.031417243,-0.5085702
cg14956201,0.029920928,0.5033791
cg09726198,-0.026591908,-0.57413393
cg12956751,0.024717575,0.5079693
cg23729777,-0.021348618,-0.5000428
cg15009131,-0.017603911,-0.57021815
cg04199222,0.017500438,0.5131082
cg11701090,0.01649502,0.50165945
cg07612104,-0.010025668,-0.5127497
cg26386402,0.009185491,0.602522
cg17029151,0.0058081932,0.50009674
cg07099767,0.005653044,0.52825624
cg21322781,0.005597158,0.5023931
cg03641225,0.0031892264,0.5636493
cg17371064,0.00069994834,0.5075931
cg05371552,0.00068973395,0.5351234
